"country_id";"country";"area";"national_day";"country_code2";"country_code3";"region_id"
1;"Aruba";193;"";"AW";"ABW";1
2;"Afghanistan";652090;"1919-08-19 00:00:00";"AF";"AFG";2
3;"Angola";1246700;"1975-11-11 00:00:00";"AO";"AGO";3
5;"Albania";28748;"1912-11-28 00:00:00";"AL";"ALB";4
6;"Andorra";468;"";"AD";"AND";4
8;"United Arab Emirates";83600;"1971-12-02 00:00:00";"AE";"ARE";5
9;"Argentina";2780400;"1816-07-09 00:00:00";"AR";"ARG";6
10;"Armenia";29800;"1991-09-21 00:00:00";"AM";"ARM";5
11;"American Samoa";199;"";"AS";"ASM";7
14;"Antigua and Barbuda";442;"1981-11-01 00:00:00";"AG";"ATG";1
15;"Australia";7741220;"";"AU";"AUS";9
16;"Austria";83859;"1955-10-26 00:00:00";"AT";"AUT";10
17;"Azerbaijan";86600;"1991-10-18 00:00:00";"AZ";"AZE";5
18;"Burundi";27834;"1962-07-01 00:00:00";"BI";"BDI";11
19;"Belgium";30518;"1831-07-21 00:00:00";"BE";"BEL";10
20;"Benin";112622;"1960-08-01 00:00:00";"BJ";"BEN";12
21;"Burkina Faso";274000;"1960-08-05 00:00:00";"BF";"BFA";12
22;"Bangladesh";143998;"1971-03-26 00:00:00";"BD";"BGD";2
23;"Bulgaria";110994;"1878-03-03 00:00:00";"BG";"BGR";13
24;"Bahrain";694;"1971-12-16 00:00:00";"BH";"BHR";5
25;"Bahamas";13878;"";"BS";"BHS";1
26;"Bosnia and Herzegovina";51197;"1992-03-01 00:00:00";"BA";"BIH";4
27;"Belarus";207600;"1944-07-03 00:00:00";"BY";"BLR";13
28;"Belize";22696;"1981-09-21 00:00:00";"BZ";"BLZ";14
29;"Bermuda";53;"";"BM";"BMU";15
30;"Bolivia";1098581;"1825-08-06 00:00:00";"BO";"BOL";6
31;"Brazil";8547403;"1822-09-07 00:00:00";"BR";"BRA";6
32;"Barbados";430;"1966-11-30 00:00:00";"BB";"BRB";1
33;"Brunei";5765;"1984-01-01 00:00:00";"BN";"BRN";16
34;"Bhutan";47000;"";"BT";"BTN";2
36;"Botswana";581730;"1966-09-30 00:00:00";"BW";"BWA";17
37;"Central African Republic";622984;"1960-08-13 00:00:00";"CF";"CAF";3
38;"Canada";9970610;"1867-07-01 00:00:00";"CA";"CAN";15
40;"Switzerland";41284;"1291-08-01 00:00:00";"CH";"CHE";10
41;"Chile";756626;"1810-09-18 00:00:00";"CL";"CHL";6
42;"China";9572900;"";"CN";"CHN";18
